Unnamed: 0,artists,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
13189,Felix Da Housecat,Magic Fly,14,180280,False,0.624,0.888,9,-8.475,1,0.0358,0.114,0.867,0.123,0.673,127.972,4,chicago-house
13190,Felix Da Housecat,Let Your Mind Be Your Bed,14,211026,False,0.764,0.936,0,-6.751,0,0.0432,0.000171,0.355,0.0644,0.948,122.006,4,chicago-house
13191,Ron Trent;Khruangbin,"Flos Potentia (Sugar, Cotton, Tabacco) - Mixed",13,323492,False,0.583,0.814,9,-5.864,0,0.0313,0.0206,0.927,0.262,0.904,123.043,4,chicago-house
13192,Ten City,That's the Way Love Is - Underground Mix; Edit,14,391371,False,0.665,0.762,7,-7.161,1,0.0382,0.00166,0.000277,0.0525,0.642,120.915,4,chicago-house
13193,Joe Smooth,He'll Lift You Up (feat. Kookie Scott) [Joe Smooth Vocal Mix],12,512559,False,0.763,0.736,0,-11.274,1,0.0346,0.00164,0.00379,0.309,0.729,125.989,4,chicago-house
13194,Ralphi Rosario,U Used To Hold Me,14,292160,False,0.714,0.799,10,-8.319,0,0.048,0.00108,0.00174,0.371,0.798,123.064,4,chicago-house
13195,Mark Farina,Greenhouse Construction,12,4334721,False,0.846,0.744,10,-9.26,0,0.0611,0.00371,0.335,0.313,0.532,125.434,4,chicago-house
13196,Gershon Jackson;Mat.Joe;Sonny Fodera,Take It Easy - Sonny Fodera & Mat.Joe Remix,14,407591,False,0.948,0.411,10,-7.538,0,0.0507,0.001,0.00451,0.0584,0.205,123.992,4,chicago-house
13197,Mr. Fingers,Slam Dance,14,299533,False,0.783,0.743,11,-16.158,1,0.0662,0.000541,0.967,0.0768,0.781,125.652,4,chicago-house
13198,Fast Eddie;Julian 'Jumpin' Perez,Make Some Noise - Julian Jumpin Perez Mix,12,346341,False,0.788,0.85,10,-6.502,0,0.0538,0.000296,0.000983,0.14,0.567,123.385,4,chicago-house
13199,Mike Dunn;MD X-Spress,Git Cho House On (Children) - MD BlackBall Main Mixx,14,363933,False,0.796,0.855,11,-5.21,1,0.0603,0.0088,0.625,0.0826,0.24,128.003,4,chicago-house
13200,Aaron Smith;Malik Hart,House Party,21,393413,False,0.76,0.772,1,-4.872,1,0.0935,0.0294,0.0124,0.361,0.674,121.996,4,chicago-house
13201,Paul Johnson,She Got Me On,29,647537,False,0.918,0.433,6,-8.648,0,0.0749,0.00578,0.0532,0.076,0.649,127.274,4,chicago-house
13202,Frankie Knuckles,The Whistle Song,45,417706,False,0.71,0.616,0,-16.306,1,0.116,0.0344,0.225,0.0936,0.398,120.385,4,chicago-house
13203,Paul Johnson,I Wonder Why,13,324640,False,0.669,0.874,1,-6.072,1,0.0562,0.00301,0.926,0.128,0.497,122.303,4,chicago-house
13204,Paul Johnson,Dance With Me - Lil 'Tal Radio Ediit,12,209801,False,0.75,0.765,1,-7.163,1,0.227,0.000863,0.0158,0.829,0.492,124.953,4,chicago-house
13205,Bad Boy Bill;Richard Vission,Bass In Yo Face,11,262857,False,0.803,0.768,10,-5.521,0,0.0471,0.00856,0.706,0.045,0.495,126.024,4,chicago-house
13206,Larry Heard,Deja Vu,13,424294,False,0.545,0.691,4,-14.343,0,0.0309,0.247,0.828,0.107,0.103,99.953,4,chicago-house
13207,Paul Johnson,About Your Love,13,296906,False,0.748,0.676,11,-9.932,0,0.055,2.75e-05,0.785,0.0566,0.627,121.364,4,chicago-house
13208,Jovonn,Can't Hold It Back,13,373173,False,0.833,0.856,8,-9.705,1,0.045,0.0052,0.553,0.0284,0.867,124.998,4,chicago-house
13209,DJ Sneak,My Dub,13,453740,False,0.812,0.949,1,-6.319,1,0.0743,0.00135,0.944,0.0471,0.66,126.248,4,chicago-house
13210,Robert Hood,SH-101,13,286813,False,0.775,0.854,6,-8.555,1,0.0919,0.0677,0.936,0.0824,0.677,142.077,4,chicago-house
13211,Chip E.,Jack For Daze - Dub,12,508400,False,0.809,0.598,11,-12.206,1,0.0952,0.00458,0.905,0.311,0.401,124.899,4,chicago-house
13212,Paul Johnson,You Make Me Say Do Be Do,13,280133,False,0.85,0.832,6,-9.934,1,0.0835,0.00949,0.863,0.0991,0.37,127.998,4,chicago-house
13213,Frankie Knuckles,Baby Wants to Ride,12,512320,False,0.804,0.653,7,-9.913,1,0.0589,0.0102,0.312,0.373,0.779,132.645,4,chicago-house
13214,Mark Farina;Homero Espinosa,Your Fantasy,11,416239,False,0.74,0.712,0,-7.957,1,0.0603,0.00092,0.77,0.095,0.675,123.503,4,chicago-house
13215,Gershon Jackson;Reset Preset,Hands Together - Mixed,12,347908,False,0.685,0.819,5,-5.655,0,0.143,0.00464,0.0929,0.301,0.671,124.034,4,chicago-house
13216,Mr. Fingers,Urbane Sunset,13,376457,False,0.588,0.601,1,-10.682,0,0.0978,0.117,0.832,0.14,0.504,194.03,4,chicago-house
13217,Paul Johnson,I'm Gonna Dance Tonight - Original Mix,13,294999,False,0.973,0.895,0,-8.268,1,0.411,0.000711,0.268,0.119,0.38,132.011,4,chicago-house
13218,Ron Trent,Sweet Chocolate,13,579546,False,0.669,0.811,1,-6.486,0,0.0545,0.0116,0.673,0.0541,0.944,123.011,4,chicago-house
13219,Larry Heard;Loosefingers,Spirit Sensitive,13,306800,False,0.694,0.647,6,-11.887,0,0.0329,0.424,0.526,0.113,0.578,120.021,4,chicago-house
13220,Paul Johnson;Frankie Knuckles;Eric Kupper;Director's Cut,Better Than This - Director's Cut Classic Soul Mix,12,428140,False,0.7,0.825,2,-8.691,1,0.0352,0.00609,0.712,0.58,0.639,119.979,4,chicago-house
13221,Mr. Fingers,Empty,12,321346,False,0.688,0.609,9,-9.415,0,0.0379,0.516,0.00212,0.284,0.658,97.104,4,chicago-house
13222,Pal Joey,Dance - Club Mix,11,247032,False,0.778,0.714,11,-9.542,0,0.0546,5.88e-05,0.924,0.0625,0.7,124.411,4,chicago-house
13223,Ten City;Louie Vega,That's The Way Love Is - Louie Vega Remix,13,182042,False,0.71,0.904,4,-4.815,0,0.0507,0.00181,0.0232,0.0739,0.944,127.012,4,chicago-house
13224,Glenn Underground,Forgotten Art (Music),12,461560,False,0.703,0.821,10,-14.908,0,0.0464,0.054,0.918,0.0947,0.912,124.985,4,chicago-house
13225,Mike Dunn;Ruff N'Stuff;Honey Dijon,Strike It - Honey Dijon Re-Edit,12,404520,False,0.81,0.95,6,-5.415,0,0.0733,2.76e-05,0.0635,0.0952,0.501,124.993,4,chicago-house
13226,Roy Davis Jr.,I'm Hungry - Original Mix,12,508500,False,0.713,0.875,2,-9.155,1,0.0484,0.0705,0.863,0.163,0.345,129.933,4,chicago-house
13227,Ron Trent,The Afterlife - Original Version,13,532480,False,0.804,0.871,10,-9.288,0,0.0663,0.000131,0.937,0.0862,0.0958,123.023,4,chicago-house
13228,Barbara Tucker;Dennis Quin,You Want Me Back - Dennis Quin Radio Mix,12,185806,False,0.804,0.796,11,-6.113,0,0.112,0.0335,0.461,0.111,0.278,124.008,4,chicago-house
13229,Felix Da Housecat;Dave The Hustler;Blakk Hazel,Sweat!,13,170400,False,0.909,0.494,3,-12.508,0,0.0681,0.00124,0.17,0.0801,0.734,124.988,4,chicago-house
13230,DJ Sneak,Get Up Stand Up,12,332303,False,0.738,0.963,8,-8.185,1,0.0619,0.000182,0.918,0.0472,0.439,125.122,4,chicago-house
13231,Cajmere,Chit Chat - Clubhouse Remix,13,274520,False,0.9,0.445,0,-13.079,0,0.057,0.0345,0.115,0.0768,0.956,119.993,4,chicago-house
13232,Ralphi Rosario,Un Cosa De Amour,13,219880,False,0.791,0.612,2,-14.159,1,0.0571,0.0044,0.78,0.0493,0.453,119.105,4,chicago-house
13233,DJ Sneak;Demuir,Music's Underground,13,419762,False,0.741,0.896,6,-8.976,0,0.038,9.16e-05,0.54,0.583,0.672,127.991,4,chicago-house
13234,Bad Boy Bill,Got That Feeling,12,222493,False,0.661,0.841,9,-5.849,1,0.0344,0.00153,0.00348,0.358,0.211,129.99,4,chicago-house
13235,Chez Damier;Ron Trent,Sometimes I Feel Like,13,344838,False,0.824,0.645,6,-9.578,1,0.0574,8.05e-05,0.909,0.0756,0.607,123.656,4,chicago-house
13236,Ron Trent,"Pop, Dip and Spin",14,556848,False,0.904,0.567,7,-9.803,1,0.044,0.00186,0.948,0.0555,0.486,114.987,4,chicago-house
13237,Felix Da Housecat,Short Skirts,12,138800,False,0.818,0.572,0,-5.376,1,0.143,0.0164,0.0,0.296,0.414,136.018,4,chicago-house
13238,Kenny Larkin,Rubbernotes - 5th Gear Edit,14,221074,False,0.632,0.803,6,-10.758,1,0.0461,0.000119,0.528,0.205,0.888,132.081,4,chicago-house
13239,Chez Damier;Ron Trent,The Choice,12,341208,False,0.901,0.917,5,-5.167,0,0.171,0.0101,0.612,0.0524,0.624,123.009,4,chicago-house
13240,Frankie Knuckles;Director's Cut;Inaya Day,Let's Stay Home - A Director's Cut Classic Club Mix,13,465978,False,0.82,0.579,8,-5.037,1,0.0413,0.000825,0.00647,0.0372,0.658,115.995,4,chicago-house
13241,Mr. Lee,Pump Up London,11,425146,False,0.79,0.82,10,-9.701,0,0.0554,0.003,0.269,0.0548,0.532,125.923,4,chicago-house
13242,Mr. Fingers,Waterfall,13,319205,False,0.803,0.451,7,-11.116,1,0.0514,0.00017,0.949,0.102,0.811,116.013,4,chicago-house
13243,Larry Heard;Loosefingers,"Glancing at the Moon - 12"" Version",13,251373,False,0.686,0.705,7,-11.567,0,0.0453,0.0173,0.942,0.0744,0.769,113.012,4,chicago-house
13244,Ten City,That's the Way Love Is - Deep House Mix-Extended Version,12,405026,False,0.703,0.541,7,-18.39,1,0.0469,0.0515,0.274,0.113,0.961,119.732,4,chicago-house
13245,Mark Farina,Live In Tokyo - Continuous Mix,11,4339826,False,0.806,0.582,1,-12.181,1,0.0874,0.0083,0.237,0.328,0.686,128.368,4,chicago-house
13246,Mark Farina;Homero Espinosa;Seven Davis Jr.;Luke Solomon,You Should Be Dancing - Luke Solomon Remix,11,454988,False,0.744,0.81,1,-11.118,1,0.0473,0.024,0.907,0.0606,0.715,123.018,4,chicago-house
13247,Mark Farina,Dream Machine feat. Sean Hayes - Brett's No Fear Mix,12,485290,False,0.784,0.895,6,-9.533,1,0.0601,0.000175,0.887,0.646,0.289,127.008,4,chicago-house
13248,Ralphi Rosario;Xavier Gold,You Used to Hold Me (feat. Xavier Gold),13,414249,False,0.784,0.705,11,-5.885,0,0.06,0.0152,0.00708,0.11,0.514,123.258,4,chicago-house
13249,Gershon Jackson;Reset Preset,Hands Together - House of Omni Hands Together Extended Club Mix,12,396503,False,0.64,0.779,5,-6.338,0,0.0826,0.000526,0.571,0.11,0.69,126.054,4,chicago-house
13250,Cajmere;Jamie Jones,Percolator - Jamie Jones Vault Mix,39,302175,False,0.844,0.58,10,-10.384,0,0.0769,0.00053,0.375,0.289,0.285,123.998,4,chicago-house
13251,Aaron Smith;Monica Villacci,U Are - Aaron Smith Big Bass Mix,18,374136,False,0.82,0.672,0,-7.212,1,0.0413,0.033,0.173,0.0976,0.68,127.992,4,chicago-house
13252,Galaxy 2 Galaxy,Jupiter Jazz,39,270746,False,0.645,0.877,7,-10.616,1,0.0456,0.00657,0.858,0.127,0.473,124.697,4,chicago-house
13253,Robert Hood,Nothing Stops Detroit,35,393438,False,0.702,0.867,10,-8.143,0,0.0568,4.7e-05,0.925,0.179,0.262,129.94,4,chicago-house
13254,Paul Johnson,The Music In Me - Original Mix,11,352874,False,0.97,0.952,1,-5.723,1,0.272,0.0323,0.926,0.0881,0.251,133.004,4,chicago-house
13255,Kenny Larkin,Azimuth,13,272973,False,0.761,0.811,1,-11.709,1,0.0544,0.0508,0.835,0.0792,0.763,136.012,4,chicago-house
13256,Chez Damier,Can You Feel It - New York Dub,41,189565,False,0.803,0.843,11,-9.254,1,0.0668,0.0028,0.68,0.107,0.504,124.002,4,chicago-house
13257,Mr. Fingers,Mystery of Love - Mixed,40,152693,False,0.757,0.805,7,-11.558,1,0.0333,0.0999,0.911,0.112,0.772,119.493,4,chicago-house
13258,Marshall Jefferson,Move Your Body,44,405760,False,0.785,0.907,4,-4.15,0,0.118,0.0156,1.14e-06,0.513,0.565,122.311,4,chicago-house
13259,Jomanda,I Like It,12,264426,False,0.754,0.539,7,-10.188,0,0.0239,0.124,0.000293,0.132,0.595,95.77,4,chicago-house
13260,DJ Sneak,Babylon Fallin',11,490119,False,0.788,0.931,1,-6.765,1,0.073,9.52e-05,0.79,0.0312,0.725,126.013,4,chicago-house
13261,dj funk,House The Groove,12,292581,False,0.798,0.881,1,-7.581,0,0.048,0.000197,0.948,0.0907,0.73,130.662,4,chicago-house
13262,Larry Heard,DNA-RNA,12,288200,False,0.714,0.771,7,-12.067,1,0.0509,0.0016,0.831,0.895,0.503,111.777,4,chicago-house
13263,Glenn Underground,Service,11,597013,False,0.707,0.571,1,-15.311,1,0.0479,0.000265,0.904,0.0792,0.875,124.008,4,chicago-house
13264,Paul Johnson,Summer Heat,12,328893,False,0.908,0.743,10,-10.688,0,0.269,0.00151,0.768,0.0393,0.576,128.358,4,chicago-house
13265,Paul Johnson,Get Get Down - Latin Excursion Mix,11,570413,False,0.821,0.951,3,-5.054,0,0.0576,0.369,0.895,0.0696,0.472,126.495,4,chicago-house
13266,Phuture,Slam,11,338307,False,0.667,0.605,11,-14.61,0,0.0473,0.0903,0.888,0.102,0.343,126.562,4,chicago-house
13267,Ralphi Rosario;Donna Blakely,Cold - Radio Edit,12,235772,False,0.736,0.588,3,-8.214,0,0.036,0.0104,0.477,0.123,0.522,109.999,4,chicago-house
13268,Mr. Fingers,Aether,12,408671,False,0.716,0.667,4,-10.016,0,0.0619,0.248,0.839,0.103,0.389,109.002,4,chicago-house
13269,Ron Trent,Family,11,427200,False,0.739,0.59,3,-12.259,0,0.048,0.302,0.879,0.0419,0.872,99.975,4,chicago-house
13270,Mike Dunn;MD III,Face The Nation,11,305660,False,0.745,0.837,10,-7.614,0,0.0483,0.00367,0.326,0.296,0.57,129.953,4,chicago-house
13271,Armando,Radikal Bitch,12,147840,False,0.795,0.511,6,-10.648,1,0.0638,1.59e-05,0.762,0.0912,0.619,131.911,4,chicago-house
13272,Jovonn,L Speex,11,375750,False,0.813,0.769,5,-9.034,0,0.0369,0.00281,0.697,0.0522,0.519,123.015,4,chicago-house
13273,Ten City,That's the Way Love Is - Underground Mix,11,255200,False,0.638,0.742,7,-11.421,1,0.0485,0.0111,9.45e-05,0.0762,0.698,120.772,4,chicago-house
13274,Larry Heard;Mr White,The Sun Can't Compare (Long Version) - Mix Cut,11,374413,False,0.804,0.686,10,-8.785,0,0.0481,0.00691,0.766,0.104,0.673,125.014,4,chicago-house
13275,Ten City,All Loved Out,12,299360,False,0.66,0.743,5,-11.062,0,0.0655,0.0744,0.00071,0.179,0.388,117.834,4,chicago-house
13276,Mr. Fingers,Dead End Alley,11,337544,False,0.782,0.463,2,-13.078,1,0.0469,0.012,0.000119,0.302,0.826,122.091,4,chicago-house
13277,Paul Johnson;Nerio,Get Get Down - Get Get Nerio's Dubwork Remix,12,425119,False,0.799,0.941,0,-6.053,1,0.0465,0.0124,0.0662,0.106,0.756,128.489,4,chicago-house
13278,Ron Trent,Space Lover - Album Edit,12,299560,False,0.73,0.537,1,-13.389,1,0.0626,0.0829,0.915,0.0483,0.931,121.01,4,chicago-house
13279,Ron Trent,Pop Dip and Spin - Original Mix,11,664130,False,0.921,0.611,7,-8.423,1,0.0637,0.0017,0.91,0.0374,0.561,114.963,4,chicago-house
13280,Mr. Fingers,Tiger Lounge,11,262337,False,0.85,0.467,4,-9.319,0,0.0442,0.0217,0.931,0.134,0.559,107.031,4,chicago-house
13281,Mark Farina,To Tha Down,11,372610,False,0.888,0.702,2,-11.143,1,0.0626,0.000971,0.853,0.0731,0.924,119.154,4,chicago-house
13282,Larry Heard;Loosefingers,In Early May,12,306320,False,0.666,0.397,11,-14.295,0,0.216,0.0186,0.791,0.0932,0.697,216.108,4,chicago-house
13283,Mr. Fingers,Electron,11,369138,False,0.594,0.904,8,-8.91,1,0.0368,0.046,0.768,0.112,0.462,108.0,4,chicago-house
13284,Robert Hood,Sleep Cycle,13,412520,False,0.72,0.73,11,-12.61,0,0.0791,0.142,0.921,0.499,0.562,134.579,4,chicago-house
13285,Frankie Knuckles;Eric Kupper;Director's Cut;CINTHIE,The Whistle Song - Cinthie Extended Remix,11,391680,False,0.744,0.85,7,-6.969,1,0.0529,0.00681,0.89,0.0532,0.845,124.993,4,chicago-house
13286,Paul Johnson,Follow This Beat - Mousse T Remix,11,391424,False,0.759,0.664,10,-10.625,0,0.0808,0.00233,0.196,0.114,0.532,125.612,4,chicago-house
13287,"J.M. Silk;Steve ""Silk"" Hurley;Keith Nunnally",Music Is The Key - Steve Silk Hurley House Key,12,531293,False,0.769,0.904,1,-4.893,1,0.0452,0.0567,0.0343,0.0509,0.914,122.001,4,chicago-house
13288,J.M. Silk,Jack Your Body - Club Your Body,12,411946,False,0.805,0.765,10,-8.301,0,0.0674,0.0107,0.327,0.23,0.909,121.904,4,chicago-house
13289,Ron Trent;Harry Dennis,Black Magic Woman,12,480414,False,0.744,0.771,2,-8.384,1,0.0607,0.00375,0.319,0.107,0.544,123.023,4,chicago-house
13290,Glenn Underground,Entercourse Of The New Age,12,379733,False,0.694,0.605,7,-9.876,1,0.0869,0.000211,0.739,0.108,0.313,127.68,4,chicago-house
13291,Fast Eddie;FUNKY J.,Big Ol' Booty,12,71133,False,0.875,0.796,4,-10.807,0,0.207,0.00188,0.00222,0.081,0.958,135.026,4,chicago-house
13292,Ron Trent;Anthony Nicholson,Soul Samba Express,12,661952,False,0.712,0.976,1,-7.57,1,0.0964,0.00504,0.957,0.225,0.101,121.988,4,chicago-house
13293,Robert Owens,I'll Be Your Friend - Josh Butler Origins Dub,12,374092,False,0.809,0.533,10,-8.416,0,0.0699,0.000406,0.408,0.0547,0.48,124.85,4,chicago-house
13294,Ron Trent;Alex Malheiros,Melt into you - Mixed,11,359999,False,0.663,0.702,7,-9.069,1,0.0268,0.0718,0.899,0.256,0.447,99.976,4,chicago-house
13295,Frankie Knuckles,Sold On Love,11,249093,False,0.616,0.58,10,-14.389,0,0.0464,0.0483,2.6e-05,0.0611,0.625,85.8,4,chicago-house
13296,Ralphi Rosario;Donna Blakely,Take Me up (Gotta Get up) - Lego's Mix,11,384466,False,0.905,0.482,0,-12.907,1,0.0556,0.00843,0.156,0.042,0.58,123.002,4,chicago-house
13297,Joe Smooth;George Clinton,Our House! - Joe Smooth Funky House Mix,11,351487,False,0.766,0.676,8,-8.162,1,0.0974,0.000226,0.0369,0.0829,0.589,122.012,4,chicago-house
13298,Mike Dunn;MD X-Spress;Oliver Dollar,DJ Beat That Shhh (feat. MD X-Spress) - Oliver Dollar's Boompty Mix,11,192776,False,0.833,0.938,5,-7.2,0,0.0998,0.00053,0.708,0.223,0.879,126.987,4,chicago-house
13299,Ralphi Rosario,Brinca - The Definitive Vocal Mix,11,371612,False,0.813,0.862,10,-7.747,0,0.072,0.00829,0.0101,0.0926,0.521,123.901,4,chicago-house
13300,Aaron Smith;Lauren Ritchie,Chords - Aaron Smith Live Bass Mix,18,428086,False,0.761,0.666,6,-4.388,1,0.0469,0.00038,0.0638,0.032,0.852,126.992,4,chicago-house
13301,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle,I'll Take You There - Director's Cut Classic Signature Radio Version,41,255259,False,0.688,0.865,5,-8.77,0,0.0341,0.0111,0.491,0.226,0.439,125.01,4,chicago-house
13302,The Nightwriters,Let The Music Use You,38,477333,False,0.656,0.899,1,-5.095,1,0.0303,0.00201,0.0969,0.0991,0.544,124.451,4,chicago-house
13303,Barbara Tucker;Obskür,Beautiful People - Obskür Remix,48,333771,False,0.832,0.677,11,-8.78,0,0.105,0.00338,0.0153,0.0494,0.384,128.017,4,chicago-house
13304,Mark Farina;Homero Espinosa,We Got It,10,228186,False,0.911,0.883,7,-6.51,1,0.216,0.00774,0.00955,0.0757,0.728,121.972,4,chicago-house
13305,Kenny Larkin,Loop 2,11,268600,False,0.665,0.87,6,-12.887,0,0.0517,0.00429,0.259,0.0781,0.369,135.018,4,chicago-house
13306,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle;Alan Dixon,Your Love - Alan Dixon 'Love Attack' Remix,12,240000,False,0.6,0.857,4,-6.635,0,0.036,0.013,0.624,0.088,0.385,126.019,4,chicago-house
13307,Marshall Jefferson;Noosa Heads;Timewriter,Mushrooms - Timewriter Mix,10,437387,False,0.805,0.302,4,-17.02,0,0.0994,0.00568,0.829,0.0808,0.615,129.003,4,chicago-house
13308,Robert Hood,Shadows,12,322359,False,0.621,0.861,1,-9.576,1,0.0439,0.000182,0.9,0.113,0.484,127.925,4,chicago-house
13309,Robert Hood,7 Mile Dog,11,281933,False,0.747,0.676,7,-6.941,1,0.055,0.000368,0.933,0.108,0.0373,132.07,4,chicago-house
13310,Fast Eddie;DJ Sneak,Booty Call - Extended Club Mix,11,278360,False,0.835,0.876,1,-7.099,1,0.0814,0.0657,0.15,0.0266,0.344,128.482,4,chicago-house
13311,Pierre's Pfantasy Club,Mystery Girl (Set Me Free),10,279128,False,0.771,0.934,11,-3.587,1,0.0526,0.00127,0.254,0.06,0.876,123.924,4,chicago-house
13312,Frankie Knuckles;Director's Cut;Eric Kupper;Jamie Principle;Dimitri From Paris,I'll Take You There - Dimitri from Paris Radio Re-Edit,11,264960,False,0.629,0.771,5,-9.379,0,0.0294,0.0125,0.304,0.311,0.192,124.992,4,chicago-house
13313,Romanthony;NiCe7,Too Long - Nice7 Remix,10,424623,False,0.792,0.858,8,-6.17,1,0.0485,0.000642,0.111,0.0478,0.277,123.001,4,chicago-house
13314,Fast Eddie,Just Buggin',10,256534,False,0.911,0.82,7,-4.158,1,0.286,0.000972,0.0,0.118,0.71,121.795,4,chicago-house
13315,Mark Farina;Homero Espinosa;Kid Enigma;King Kooba,I'm Lovin' It - Kooba's Percussive Kapp,11,280336,False,0.782,0.926,2,-6.761,1,0.0428,4.1e-05,0.913,0.086,0.103,119.025,4,chicago-house
13316,Sterling Void,It’s Alright (feat. Paris Brightledge) - Radio Edit,9,241855,False,0.654,0.857,9,-6.245,0,0.0408,0.0029,0.000844,0.147,0.687,120.331,4,chicago-house
13317,Bad Boy Bill;Matthew Anthony,Do What You're Told,10,197317,False,0.839,0.867,0,-10.997,1,0.101,0.00345,0.78,0.0641,0.463,123.05,4,chicago-house
13318,Roy Davis Jr.;Terry Dexter,Just A Little Bit of Love - Original Mix,11,291147,False,0.781,0.752,1,-4.586,1,0.0756,0.00254,1.26e-05,0.0579,0.552,119.982,4,chicago-house
13319,Romanthony;Hatiras,Let Me Show You Love - Hatiras Extended Remix,10,390060,False,0.903,0.702,6,-5.893,1,0.117,0.000345,0.0061,0.0267,0.41,124.972,4,chicago-house
13320,Felix Da Housecat,Sinner Winner,12,511999,False,0.779,0.892,9,-7.494,1,0.0867,0.0128,0.0187,0.353,0.236,119.999,4,chicago-house
13321,Derrick Carter;Chris Nazuka,Life Beats,11,306826,False,0.835,0.848,8,-8.282,1,0.0594,0.109,0.87,0.128,0.253,122.906,4,chicago-house
13322,Pierre's Pfantasy Club;J.R.,Dream Girl - Wet Dream Mix,10,347586,False,0.848,0.769,0,-12.635,1,0.046,0.00309,0.0181,0.0686,0.876,122.397,4,chicago-house
13323,Marshall Jefferson;Josh Butler,In Time - Butler's Dub Mix,10,371963,False,0.809,0.723,11,-8.415,0,0.0765,5.36e-05,0.899,0.337,0.224,124.995,4,chicago-house
13324,Marshall Jefferson;Jay C;K'Alexi Shelby;D-Unity,Kiss The Dragon - D-Unity Remix,10,438569,False,0.604,0.941,7,-6.353,1,0.0634,0.0428,0.209,0.158,0.313,123.008,4,chicago-house
13325,Cajmere;Claude VonStroke,Percolator - Claude VonStroke Must Have Subs Mix,11,472140,False,0.97,0.583,8,-6.992,0,0.0889,0.000868,0.665,0.0534,0.11,125.988,4,chicago-house
13326,Fast Eddie,Work Your Body,10,299016,False,0.784,0.819,6,-4.107,0,0.0476,3.61e-05,0.0785,0.122,0.444,122.435,4,chicago-house
13327,Fast Eddie,Jack 2 the Sound,10,302903,False,0.811,0.911,0,-9.267,1,0.0821,9.67e-05,0.819,0.0679,0.823,124.206,4,chicago-house
13328,Mark Farina;Homero Espinosa,Detour Jazz,9,433807,False,0.781,0.712,1,-8.787,0,0.0687,0.0186,0.706,0.0664,0.438,119.507,4,chicago-house
13329,"Steve ""Silk"" Hurley;Vernessa Mitchell;Ricky Dillard;New G.",Higher - Steve Silk Hurley Original 12 Inch,10,412186,False,0.833,0.782,1,-5.742,1,0.039,0.000471,0.0536,0.292,0.744,123.994,4,chicago-house
13330,Joe Smooth;Irene Michaels,Hush Money (House Rockin' Radio Mix),10,185759,False,0.722,0.673,5,-12.697,1,0.265,0.0736,0.0,0.169,0.695,123.989,4,chicago-house
13331,Felix Da Housecat,She's So D*mn Cool,11,171600,False,0.769,0.566,5,-9.81,0,0.0348,0.271,0.849,0.235,0.921,120.009,4,chicago-house
13332,Fingers Inc.,Music Take Me Up,11,394400,False,0.873,0.636,7,-8.668,1,0.13,0.0959,0.00514,0.0673,0.69,123.635,4,chicago-house
13333,Roy Davis Jr.,About Love - Pezzner Remix,10,408659,False,0.796,0.485,1,-8.893,0,0.0622,8.02e-05,0.471,0.0737,0.814,124.994,4,chicago-house
13334,Mike Dunn,If I Can't Get Down,44,310581,False,0.782,0.669,10,-6.133,0,0.17,0.00184,0.273,0.0461,0.606,125.131,4,chicago-house
13335,Gershon Jackson;Chocolate Puma,Huggin' & A Luvin' - Chocolate Puma Remix,10,289663,False,0.858,0.89,11,-4.363,1,0.0443,0.00113,0.872,0.604,0.816,123.994,4,chicago-house
13336,Mark Farina,Big Sexy Shuffle,10,397008,False,0.808,0.636,1,-12.656,1,0.0516,0.00247,0.805,0.113,0.703,125.004,4,chicago-house
13337,Jesse Saunders,On & On - Vocal Album Mix,10,469294,False,0.807,0.732,1,-9.957,1,0.0642,0.0016,0.853,0.0562,0.947,121.087,4,chicago-house
13338,Felix Da Housecat,Neon Human,12,309866,False,0.674,0.936,9,-6.6,1,0.0455,0.00874,0.815,0.263,0.611,124.023,4,chicago-house
13339,Mark Farina,Cha Cha Cha Cha (Japanese Version) - Remix '92,10,349266,False,0.745,0.88,2,-10.711,1,0.0611,0.0747,0.133,0.352,0.6,134.018,4,chicago-house
13340,Sterling Void;Paris Brightledge;Eric Kupper,It's All Right - Eric Kupper Remix [Mixed],10,468050,False,0.665,0.867,0,-5.577,1,0.0287,0.00243,0.0206,0.0873,0.648,118.996,4,chicago-house
13341,Virgo Four;Caribou,It's A Crime - Caribou Mix,10,186653,False,0.715,0.859,3,-9.669,1,0.0507,0.0114,0.918,0.074,0.856,124.245,4,chicago-house
13342,Thompson & Lenoir,Can't Stop The House - Basement Mix,11,385785,False,0.808,0.68,1,-13.032,1,0.114,0.000329,0.898,0.128,0.697,122.638,4,chicago-house
13343,Frankie Knuckles;Director's Cut;B.Slade;Sami Dee,Get over U - Director's Cut Mix - Sami Dee Edit,12,379097,False,0.772,0.82,1,-7.014,1,0.05,8.95e-05,0.34,0.0468,0.552,126.025,4,chicago-house
13344,Mark Farina,House of Om - Mark Farina - Continuous Mix,11,4447520,False,0.861,0.805,11,-6.461,0,0.0711,0.00548,0.577,0.135,0.545,129.306,4,chicago-house
13345,Roy Davis Jr.;Peven Everett,Gabriel - Tamborine Dub,9,433545,False,0.765,0.418,7,-16.782,1,0.0406,0.00517,0.872,0.0672,0.553,129.966,4,chicago-house
